Beam_I [mm4],Column_I [mm4],Bracing_A [mm2],Load_Lat [kN],Disp_lat [m]
0.8014,6.062,182.0,10.0,0.002187260085161076
0.8014,6.062,182.0,20.0,0.0043651183016352475
0.8014,6.062,182.0,30.0,0.006542976518109416
0.8014,6.062,182.0,40.0,0.00872083473458359
0.8014,6.062,182.0,50.0,0.01089869295105776
0.8014,6.062,178.0,10.0,0.002236409271348284
0.8014,6.062,178.0,20.0,0.004463440322675232
0.8014,6.062,178.0,30.0,0.00669047137400218
0.8014,6.062,178.0,40.0,0.008917502425329123
0.8014,6.062,178.0,50.0,0.011144533476656072
0.8014,6.062,198.0,10.0,0.0020105752302371515
0.8014,6.062,198.0,20.0,0.00401165458881959
0.8014,6.062,198.0,30.0,0.006012733947402031
0.8014,6.062,198.0,40.0,0.008013813305984465
0.8014,6.062,198.0,50.0,0.010014892664566906
0.8014,6.062,238.0,10.0,0.0016730963571936095
0.8014,6.062,238.0,20.0,0.0033364657571263237
0.8014,6.062,238.0,30.0,0.004999835157059039
0.8014,6.062,238.0,40.0,0.006663204556991754
0.8014,6.062,238.0,50.0,0.008326573956924469
0.8014,6.062,254.0,10.0,0.0015679747759616005
0.8014,6.062,254.0,20.0,0.0031261316311028053
0.8014,6.062,254.0,30.0,0.00468428848624401
0.8014,6.062,254.0,40.0,0.006242445341385217
0.8014,6.062,254.0,50.0,0.0078006021965264195
0.8014,6.062,307.0,10.0,0.0012983659203687908
0.8014,6.062,307.0,20.0,0.0025866180676310637
0.8014,6.062,307.0,30.0,0.003874870214893338
0.8014,6.062,307.0,40.0,0.005163122362155611
0.8014,6.062,307.0,50.0,0.006451374509417885
0.8014,6.062,373.0,10.0,0.001070304070286512
0.8014,6.062,373.0,20.0,0.002130136462778922
0.8014,6.062,373.0,30.0,0.003189968855271332
0.8014,6.062,373.0,40.0,0.004249801247763741
0.8014,6.062,373.0,50.0,0.00530963364025615
0.8014,6.062,325.0,10.0,0.00122691220190737
0.8014,6.062,325.0,20.0,0.002443611928861525
0.8014,6.062,325.0,30.0,0.0036603116558156794
0.8014,6.062,325.0,40.0,0.004877011382769833
0.8014,6.062,325.0,50.0,0.006093711109723988
0.8014,10.33,137.0,10.0,0.0028925239936373843
0.8014,10.33,137.0,20.0,0.005775981611644519
0.8014,10.33,137.0,30.0,0.008659439229651655
0.8014,10.33,137.0,40.0,0.011542896847658782
0.8014,10.33,137.0,50.0,0.014426354465665923
0.8014,10.33,153.0,10.0,0.0025883674510302768
0.8014,10.33,153.0,20.0,0.00516757929365228
0.8014,10.33,153.0,30.0,0.007746791136274283
0.8014,10.33,153.0,40.0,0.010326002978896288
0.8014,10.33,153.0,50.0,0.012905214821518287
0.8014,10.33,182.0,10.0,0.0021736393526377218
0.8014,10.33,182.0,20.0,0.004337963923983903
0.8014,10.33,182.0,30.0,0.006502288495330085
0.8014,10.33,182.0,40.0,0.008666613066676265
0.8014,10.33,182.0,50.0,0.010830937638022446
0.8014,10.33,178.0,10.0,0.002222789978228889
0.8014,10.33,178.0,20.0,0.0044362869412575565
0.8014,10.33,178.0,30.0,0.006649783904286222
0.8014,10.33,178.0,40.0,0.00886328086731489
0.8014,10.33,178.0,50.0,0.011076777830343554
0.8014,10.33,198.0,10.0,0.001996948766362391
0.8014,10.33,198.0,20.0,0.003984496266525257
0.8014,10.33,198.0,30.0,0.0059720437666881225
0.8014,10.33,198.0,40.0,0.007959591266850986
0.8014,10.33,198.0,50.0,0.009947138767013855
0.8014,10.33,238.0,10.0,0.0016594557239539888
0.8014,10.33,238.0,20.0,0.0033092978144797975
